HSK Set;Number;Character;Pinyin;Meaning
3;94;成员;chéngyuán;member
3;95;成长;chéngzhǎng;Grow up
3;96;城;chéng;"city; town"
3;97;城市;chéngshì;City
3;98;程度;chéngdù;degree
3;99;持续;chíxù;Continued
3;100;充满;chōngmǎn;full of 
3;101;重;zhòng;heavy
3;102;初;chū;"beginning; start; basis; at the beginning of"
3;103;初（初一）;chū （chū yī）;prefix (first grade of junior high school )
3;104;初步;chūbù;preliminary
3;105;初级;chūjí;primary
3;106;初中;chū zhōng;junior high school
3;107;除了;chúle;except
3;108;处理;chǔlǐ;Handle
3;109;传;chuán;"pass; pass on; hand down; impart; spread; transmit"
3;110;传播;chuánbō;spread
3;111;传来;chuán lái;"came; come through"
3;112;传说;chuánshuō;Legend
3;113;创新;chuàngxīn;innovate
3;114;创业;chuàngyè;carve out
3;115;创造;chuàngzào;create
3;116;创作;chuàngzuò;A literary creation
3;117;从来;cónglái;Always
3;118;从前;cóngqián;before
3;119;从事;cóngshì;Be engaged in
3;120;村;cūn;"village; hamlet"
3;121;存;cún;Deposit
3;122;存在;cúnzài;existence
3;123;错误;cuòwù;error
3;124;达到;dádào;Achieve
3;125;打破;dǎ pò;"break; smash"
3;126;打听;dǎting;Inquire
3;127;大概;dàgài;Probably
3;128;大使馆;dàshǐguǎn;Embassy
3;129;大约;dàyuē;about
3;130;大夫;dàifu;Doctor
3;131;代;dài;"substitute; replace; take the place of"
3;132;代表;dàibiǎo;representative
3;133;代表团;dài biǎo tuán;"delegation; mission; deputation"
3;134;带动;dài dòng;"drive; spur"
3;135;带领;dàilǐng;lead
3;136;单元;dānyuán;unit
3;137;当初;dāngchū;Original
3;138;当地;dāngdì;Local
3;139;当然;dāngrán;Of course
3;140;当中;dāng zhōng;"among; in the middle; in the centre"
3;141;刀;dāo;knife
3;142;导演;dǎoyǎn;director
3;143;到达;dàodá;Arrive
3;144;到底;dàodǐ;To the end
3;145;得分;dé fēn;score
3;146;等待;děngdài;wait for
3;147;底下;dǐ xià;"under; below; beneath"
3;148;地区;dìqū;region
3;149;电视剧;diàn shì jù;"TV series; television drama"
3;150;电视台;diàn shì tái;TV station
3;151;电台;diàntái;radio station
3;152;电子邮件;diànzǐyóujiàn;E-mail
3;153;调;diào;"transfer; shift; move"
3;154;调查;diàochá;investigation
3;155;订;dìng;"conclude; draw up; order; revise"
3;156;定期;dìngqī;regular
3;157;东部;dōng bù;east
3;158;动力;dònglì;power, motivation
3;159;动人;dòng rén;"moving; touching"
3;160;读者;dú zhě;reader
3;161;短处;duǎn chù;"shortcoming; demerit"
3;162;短裤;duǎn kù;shorts
3;163;短期;duǎn qī;short term
3;164;断;duàn;break
3;165;队员;duì yuán;team member
3;166;对待;duìdài;treat
3;167;对方;duìfāng;Other party
3;168;对手;duìshǒu;Opponent
3;169;对象;duìxiàng;object
3;170;顿;dùn;Meal
3;171;发表;fābiǎo;Publish
3;172;发出;fā chū;"issue; send out; give off; emit"
3;173;发达;fādá;developed
3;174;发动;fādòng;Launch
3;175;发明;fāmíng;Invention
3;176;发生;fāshēng;Happen
3;177;发送;fā sòng;"send; transmit; dispatch; ship; forward"
3;178;发言;fāyán;speak
3;179;发展;fāzhǎn;Development
3;180;反对;fǎnduì;Opposition
3;181;反复;fǎnfù;Repeatedly
3;182;反应;fǎnyìng;reaction
3;183;反正;fǎnzhèng;anyway
3;184;范围;fànwéi;Range
3;185;方式;fāngshì;mode
3;186;防;fáng;"guard against; defend"
3;187;防止;fángzhǐ;Prevent
3;188;房东;fángdōng;landlord
3;189;房屋;fáng wū;"houses; buildings; tenement"
3;190;房租;fáng zū;rent
3;191;访问;fǎngwèn;Visit
3;192;放到;fàng dào;"put to; put into"
3;193;飞行;fēi xíng;"flight; flying"
3;194;费;fèi;"fee; cost"
3;195;费用;fèi yòng;"cost; expenses; outlay"
3;196;分别;fēnbié;part
3;197;分配;fēnpèi;distribution
3;198;分组;fēn zǔ;grouping
3;199;丰富;fēngfù;rich
3;200;风险;fēngxiǎn;risk
3;201;否定;fǒudìng;negative
3;202;否认;fǒurèn;deny
3;203;服装;fúzhuāng;"costume; dress"
3;204;福;fú;"blessing; good fortune"
3;205;父母;fù mǔ;"father and mother; parents"
3;206;父亲;fùqīn;father
3;207;付;fù;"pay; commit; hand over"
3;208;负责;fùzé;Be responsible for
3;209;复印;fùyìn;To copy
3;210;复杂;fùzá;complex
3;211;富;fù;rich
3;212;改进;gǎijìn;Improvement
3;213;改造;gǎi zào;"transform; reform"
3;214;概念;gàiniàn;concept
3;215;赶;gǎn;catch up with
3;216;赶到;gǎn dào;"arrived; get to"
3;217;赶紧;gǎnjǐn;Quickly
3;218;赶快;gǎnkuài;Come on
3;219;敢;gǎn;dare
3;220;感冒;gǎnmào;Cold
3;221;感情;gǎnqíng;feeling
3;222;感受;gǎnshòu;feel
3;223;干吗;gàn má;Why
3;224;高速;gāo sù;high speed
3;225;高速公路;gāosùgōnglù;Expressway
3;226;告别;gàobié;farewell
3;227;歌迷;gē mí;fan
3;228;歌声;gē shēng;singing
3;229;歌手;gē shǒu;"singer; vocalist"
3;230;个人;gèrén;personal
3;231;个性;gèxìng;personality
3;232;各;gè;various
3;233;各地;gè dì;"various regions; everywhere"
3;234;各位;gè wèi;everybody
3;235;各种;gè zhǒng;"all kinds; various; every kind"
3;236;各自;gèzì;Each
3;237;根本;gēnběn;at all
3;238;更加;gèng jiā;"more; even more"
3;239;工厂;gōngchǎng;factory
3;240;工程师;gōngchéngshī;Engineer
3;241;工夫;gōng fu;time
3;242;工具;gōngjù;tool
3;243;工业;gōngyè;Industry
3;244;工资;gōngzī;wages
3;245;公布;gōngbù;Publish
3;246;公共;gōng gòng;"public; common; community"
3;247;公开;gōngkāi;open
3;248;公民;gōngmín;citizen
3;249;公务员;gōng wù yuán;"civil servant; public functionary"
3;250;功夫;gōngfu;Kungfu
3;251;功课;gōng kè;"homework; schoolwork; classwork"
3;252;功能;gōngnéng;function
3;253;共同;gòngtóng;common
3;254;共有;gòng yǒu;"have altogether; share; owned by all"
3;255;姑娘;gūniang;girl
3;256;古;gǔ;"ancient; old"
3;257;古代;gǔdài;Ancient
3;258;故乡;gùxiāng;Hometown
3;259;挂;guà;hang
3;260;关系;guānxì;relationship
3;261;关注;guān zhù;"attention; follow with interest; pay close attention; show solicitude for"
3;262;观察;guānchá;observation
3;263;观看;guān kàn;"watch; view"
3;264;观念;guānniàn;concept
3;265;观众;guānzhòng;Audience
3;266;管;guǎn;"control; be in charge of; manage; run"
3;267;管理;guǎnlǐ;Administration
3;268;光;guāng;light
3;269;光明;guāngmíng;light
3;270;广播;guǎngbō;Radio broadcast
3;271;广大;guǎngdà;Vast
3;272;规定;guīdìng;Regulations
3;273;规范;guīfàn;"criterion; rule"
3;274;国内;guó nèi;"domestic; internal"
3;275;国庆;guó qìng;National Day
3;276;果然;guǒrán;Sure enough
3;277;果汁;guǒzhī;fruit juice
3;278;过程;guòchéng;process
3;279;过去（名）;guò qù;"past; old; foretime"
3;280;哈哈;hā hā;ha-ha
3;281;海关;hǎiguān;Customs
3;282;害怕;hàipà;Fear
3;283;行;xíng;That’s ok
3;284;好好;hǎo hǎo;really good, really nice
3;285;好奇;hàoqí;Be curious
3;286;合;hé;"close; shut; be equal to; add up to; join"
3;287;合法;héfǎ;legitimate
3;288;合格;hégé;qualified
3;289;合理;hélǐ;reasonable
3;290;合作;hézuò;cooperation
3;291;和平;hépíng;peace
3;292;红茶;hóng chá;black tea
3;293;红酒;hóng jiǔ;red wine
3;294;后果;hòuguǒ;Consequence
3;295;后面;hòumiàn;behind
3;296;后年;hòu nián;the year after next
3;297;互联网;hùliánwǎng;Internet
3;298;互相;hùxiāng;each other
3;299;划船;huá chuán;"row; paddle a boat; go boating"
3;300;华人;huá rén;"Chinese; ethnic Chinese"
3;301;化（现代化）;huà （xiàn dài huà）;"suffix (modernize; modernization)"
3;302;话剧;huà jù;drama
3;303;话题;huàtí;Topic of conversation
3;304;欢乐;huānlè;Happy
3;305;环;huán;"ring; loop; link; annulus"
3;306;环保;huán bǎo;environmental protection
3;307;环境;huánjìng;Environment
3;308;会议;huìyì;Meeting
3;309;会员;huì yuán;membership
3;310;活;huó;"live; save; work; living; alive"
3;311;火（名）;huǒ;"fire; anger; temper"
3;312;机器;jīqì;machine
3;313;积极;jījí;positive
3;314;基本;jīběn;basic
3;315;基本上;jī běn shàng;basically
3;316;基础;jīchǔ;Basics
3;317;及时;jíshí;timely
3;318;…极了;… jí le;"extremely; exceedingly"
3;319;集体;jítǐ;collective
3;320;集中;jízhōng;focus
3;321;计算;jìsuàn;Calculation
3;322;记录;jìlù;Record
3;323;记者;jìzhě;Reporter
3;324;纪录;jìlù;Record
3;325;纪念;jìniàn;Anniversary
3;326;技术;jìshù;technology
3;327;继续;jìxù;Continue
3;328;加工;jiāgōng;machining
3;329;加快;jiā kuài;"speed up; accelerate"
3;330;加强;jiā qiáng;"strengthen; reinforce"
3;331;家具;jiājù;furniture
3;332;家属;jiāshǔ;family members
3;333;家乡;jiāxiāng;Hometown
3;334;价格;jiàgé;Price
3;335;价钱;jià qián;price
3;336;价值;jiàzhí;value
3;337;架;jià;"frame; rack; shelf; stand"
3;338;坚持;jiānchí;Insist
3;339;坚决;jiānjué;firm
3;340;坚强;jiānqiáng;Firm
3;341;简单;jiǎndān;simple
3;342;简直;jiǎnzhí;simply
3;343;建;jiàn;"build; construct; erect; establish; set up; found"
3;344;建成;jiàn chéng;built up
3;345;建立;jiànlì;establish
3;346;建设;jiànshè;build
3;347;建议;jiànyì;proposal
3;348;将近;jiāngjìn;nearly
3;349;将来;jiānglái;future
3;350;交费;jiāo fèi;pay
3;351;交警;jiāo jǐng;traffic police
3;352;交流;jiāoliú;Communication
3;353;交往;jiāowǎng;affiliate with
3;354;交易;jiāoyì;transaction
3;355;叫（介）;jiào;(preposition)
3;356;较;jiào;"compare; comparatively; relatively; fairly; quite; rather"
3;357;教材;jiàocái;teaching material
3;358;教练;jiàoliàn;coach
3;359;结实;jiēshi;strong
3;360;接待;jiēdài;Reception
3;361;接近;jiējìn;near
3;362;节约;jiéyuē;save
3;363;结合;jiéhé;Combination
3;364;结婚;jiéhūn;marry
3;365;结束;jiéshù;End
3;366;解决;jiějué;Solve
3;367;解开;jiě kāi;"undo; untie; unfasten; unbutton"
3;368;金;jīn;gold
3;369;金牌;jīn pái;gold medal
3;370;仅;jǐn;"only; merely; barely"
3;371;仅仅;jǐn jǐn;"only; merely; barely"
3;372;尽量;jǐnliàng;as far as possible
3;373;紧;jǐn;"tight; close; urgent; strict"
3;374;紧急;jǐnjí;urgent
3;375;紧张;jǐnzhāng;Nervous
3;376;进步;jìnbù;progress
3;377;进一步;jìn yí bù;"go a step further; further"
3;378;进展;jìnzhǎn;"evolve; get along"
3;379;近期;jìn qī;recent
3;380;京剧;jīngjù;Beijing opera
3;381;经济;jīngjì;Economics
3;382;经历;jīnglì;experience
3;383;经验;jīngyàn;experience
3;384;经营;jīngyíng;Management
3;385;精彩;jīngcǎi;Marvellous
3;386;精神;jīngshén;spirit, mind
3;387;精神;jīngshen;lively, vigour
3;388;景色;jǐngsè;scenery
3;389;警察;jǐngchá;Police
3;390;静;jìng;"silent; quiet; calm"
3;391;久;jiǔ;long
3;392;旧;jiù;used
3;393;救;jiù;save
3;394;就是;jiù shì;"precisely; exactly; just like"
3;395;就业;jiùyè;take up an occupation
3;396;举办;jǔbàn;hold
3;397;具体;jùtǐ;specific
3;398;具有;jù yǒu;"possess; have; be provided with"
3;399;剧场;jù chǎng;theater
3;400;据说;jùshuō;allegedly
3;401;决定;juédìng;Decision
3;402;决赛;juésài;Finals
3;403;决心;juéxīn;Determination
3;404;绝对;juéduì;Absolutely
3;405;咖啡;kāfēi;Coffee
3;406;开发;kāifā;Development
3;407;开放;kāifàng;To open up
3;408;开始;kāishǐ;start
3;409;开业;kāi yè;"start business; open a private practice"
3;410;开展;kāizhǎn;Develop
3;411;看起来;kàn qǐ lái;look like
3;412;看上去;kàn shàng qù;seem
3;413;考验;kǎoyàn;test
3;414;科技;kē jì;science and technology
3;415;可靠;kěkào;reliable
3;416;可乐;kě lè;"coke; cola"
3;417;克服;kèfú;Overcome
3;418;客观;kèguān;objective
3;419;课程;kèchéng;curriculum
3;420;空;kōng;empty
3;421;空调;kōngtiáo;Air conditioner
3;422;恐怕;kǒngpà;I’m afraid
3;423;空儿;kòngr;free time
3;424;裤子;kùzi;trousers
3;425;快速;kuài sù;"fast; high-speed"
3;426;困;kùn;sleepy
3;427;困难;kùnnán;difficulty
3;428;浪费;làngfèi;Waste
3;429;老百姓;lǎobǎixìng;Ordinary people
3;430;老板;lǎobǎn;Boss
3;431;老太太;lǎo tài tai;old lady
3;432;老头儿;lǎo tóur;old man
3;433;乐;lè;"happy; laugh; cheerful"
3;434;乐观;lèguān;optimistic
3;435;类;lèi;"class; category; kind; type"
3;436;类似;lèisì;Similar
3;437;离婚;líhūn;divorce
3;438;里面;lǐ miàn;"inside; interior"
3;439;理发;lǐfà;Haircut
3;440;理解;lǐjiě;Understand
3;441;理论;lǐlùn;theory
3;442;理由;lǐyóu;Reason
3;443;力;lì;"power; force"
3;444;力量;lìliàng;Power
3;445;立刻;lìkè;immediately
3;446;利用;lìyòng;utilize
3;447;连;lián;even
3;448;连忙;liánmáng;Hurriedly
3;449;连续;liánxù;serial 
3;450;连续剧;lián xù jù;"series; soap opera"
3;451;联合;liánhé;union
3;452;联合国;lián hé guó;United Nations
3;453;联系;liánxì;contact
3;454;凉水;liáng shuǐ;"cold water; unboiled water"
3;455;了;le;past tense marker
3;456;领;lǐng;"lead; receive; get; understand"
3;457;领导;lǐngdǎo;Leader
3;458;领先;lǐngxiān;keep ahead
3;459;另外;lìngwài;in addition
3;460;另一方面;lìng yì fāng miàn;on the other hand
3;461;留学;liúxué;Overseas Study
3;462;龙;lóng;dragon
3;463;录;lù;"record; write down; copy"
3;464;录音;lùyīn;Sound recording
3;465;路线;lù xiàn;"path; route; way; line"
3;466;旅馆;lǚ guǎn;hotel
3;467;旅行社;lǚ xíng shè;travel agency
3;468;绿茶;lǜ chá;green tea
3;469;乱;luàn;chaos
3;470;落后;luòhòu;backward
3;471;麻烦;máfan;trouble
3;472;马;mǎ;Horse
3;473;满足;mǎnzú;satisfy
3;474;慢慢;màn màn;slowly
3;475;毛（名）;máo;"a fractional unit of money in China; hair; fur"
3;476;毛病;máobìng;Trouble
3;477;没用;méi yòng;useless
3;478;媒体;méitǐ;media
3;479;每;měi;each
3;480;美;měi;"beautiful; pretty"
3;481;美好;měi hǎo;"fine; happy; glorious"
3;482;美丽;měilì;beautiful
3;483;美食;měi shí;"delicious food ; gourmet"
3;484;美术;měishù;Fine Arts
3;485;美元;měi yuán;U.S. dollar
3;486;迷;mí;"fan; confused; be crazy about"
3;487;米（名）;mǐ;"meter; rice"
3;488;面对;miànduì;Face
3;489;面积;miànjī;The measure of area
3;490;民间;mínjiān;nongovernmental
3;491;民族;mínzú;Nation
3;492;明确;míngquè;To make clear
3;493;明显;míngxiǎn;obvious
3;494;命运;mìngyùn;fate
3;495;某;mǒu;some
3;496;母亲;mǔqīn;mother
3;497;木头;mùtou;wood
3;498;目标;mùbiāo;target
3;499;目前;mùqián;at present
3;500;奶茶;nǎi chá;milk tea
3;501;男子;nán zǐ;"man; male"
3;502;南部;nán bù;south
3;503;难道;nándào;could it be said that …
3;504;难度;nán dù;difficulty
3;505;内;nèi;within
3;506;内容;nèiróng;content
3;507;内心;nèi xīn;"heart; inner centre"
3;508;能不能;néng bù néng;can or not
3;509;能力;nénglì;ability
3;510;年初;nián chū;beginning of the year
3;511;年代;niándài;years
3;512;年底;nián dǐ;end of the year
3;513;年纪;niánjì;Age
3;514;念;niàn;Read
3;515;牛（名）;niú;"cattle; ox; cow"
3;516;农村;nóngcūn;countryside
3;517;农民;nóngmín;farmer
3;518;农业;nóngyè;Agriculture
3;519;女子;nǚ zǐ;"woman; female"
3;520;暖和;nuǎnhuo;warm
3;521;怕（副）;pà;"perhaps; afraid"
3;522;拍;pāi;beat
3;523;排（动）;pái;"arrange; put in order; exclude; rehearse"
3;524;排名;pái míng;rank
3;525;牌子;pái zi;"brand; trademark; plate; sign"
3;526;派;pài;send
3;527;判断;pànduàn;judge
3;528;胖;pàng;fat
3;529;跑步;pǎobù;Run
3;530;配;pèi;"match; mix; join; fit"
3;531;配合;pèihé;Coordination
3;532;批评;pīpíng;criticism
3;533;批准;pīzhǔn;Approval
3;534;皮;pí;"skin; leather; fur; cover; sheet"
3;535;皮包;pí bāo;"purse; briefcase; portfolio"
3;536;啤酒;píjiǔ;Beer
3;537;票价;piào jià;"ticket price; fare"
3;538;评价;píngjià;evaluation
3;539;苹果;píngguǒ;Apple
3;540;破;pò;broken
3;541;破坏;pòhuài;Destruction
3;542;普遍;pǔbiàn;universal
3;543;普及;pǔjí;Universal
3;544;期;qī;"period; time; term; expect"
3;545;齐;qí;"together; uniform; neat; be level with"
3;546;其次;qícì;Secondly
3;547;其实;qíshí;actually
3;548;奇怪;qíguài;strange
3;549;气候;qìhòu;climate
3;550;千万;qiānwàn;Must
3;551;前后;qián hòu;"front and back; from start to finish; around"
3;552;前进;qián jìn;"advance; go forward; march"
3;553;前面;qiánmiàn;Front
3;554;前往;qián wǎng;"go to; leave for; proceed"
3;555;强;qiáng;"strong; powerful; better"
3;556;强大;qiáng dà;"powerful; formidable; strong"
3;557;强调;qiángdiào;Emphasize
3;558;强烈;qiángliè;strong
3;559;桥;qiáo;Bridge
3;560;巧;qiǎo;"opportunely; skilful; deceitful"
3;561;亲;qīn;"dear; close; intimate; relative"
3;562;亲切;qīnqiè;kind
3;563;亲人;qīn rén;relative
3;564;亲自;qīnzì;personally
3;565;情感;qíng gǎn;"feeling; emotion"
3;566;情况;qíngkuàng;Situation
3;567;请教;qǐngjiào;Consult
3;568;庆祝;qìngzhù;Celebrate
3;569;球迷;qiúmí;fans (ball game)
3;570;区;qū;"area; district; region"
3;571;区别;qūbié;Difference
3;572;取消;qǔxiāo;cancel
3;573;去世;qùshì;Death
3;574;全场;quán chǎng;the whole audience
3;575;全面;quánmiàn;comprehensive
3;576;全球;quán qiú;"global; the whole world"
3;577;缺;quē;"be short of; lack"
3;578;缺点;quēdiǎn;shortcoming
3;579;缺少;quēshǎo;Lack
3;580;确保;quèbǎo;ensure
3;581;确定;quèdìng;Determine
3;582;确实;quèshí;Exactly
3;583;裙子;qúnzi;skirt
3;584;群;qún;group
3;585;热爱;rè’ài;Ardently love
3;586;热烈;rèliè;warm
3;587;人才;réncái;talented person
3;588;人工;réngōng;artificial
3;589;人类;rénlèi;Human beings
3;590;人民;rén mín;people
3;591;人民币;rénmínbì;RMB
3;592;人群;rén qún;"crowd; throng"
3;593;人生;rénshēng;Life
3;594;人员;rényuán;personnel
3;595;认出;rèn chū;"recognize; identify; make out"
3;596;认得;rèn dé;"know; recognize"
3;597;认可;rènkě;"certificate; ratify"
3;598;任（动）;rèn;"appoint; assign"
3;599;任（连）;rèn;no matter (how, what, etc.)
3;600;任何;rènhé;whatever, any
3;601;任务;rènwu;task
3;602;仍;réng;"still; remain; yet"
3;603;仍然;réngrán;still
3;604;日常;rìcháng;daily
3;605;容易;róngyì;easily
3;606;如何;rúhé;How
3;607;散步;sànbù;Take a walk
3;608;沙发;shāfā;Sofa
3;609;沙子;shā zi;"sand; grit"
3;610;伤;shāng;"hurt; be harmful; be distressed; get sick of"
3;611;伤心;shāngxīn;Sad
3;612;商品;shāngpǐn;commodity
3;613;商业;shāngyè;business
3;614;上来;shàng lái;come up
3;615;上面;shàng miàn;"above; on top of"
3;616;上去;shàng qù;go up
3;617;上升;shàng shēng;"rise; go up"
3;618;上衣;shàng yī;"upper outer garment; jacket; coat"
3;619;设备;shèbèi;equipment
3;620;设计;shèjì;Design
3;621;设立;shèlì;Establish
3;622;社会;shèhuì;Socioty
3;623;身份证;shēn fèn zhèng;ID card
3;624;深;shēn;deep
3;625;深刻;shēnkè;profound
3;626;深入;shēn rù;"go deep into; thorough"
3;627;升;shēng;rise
3;628;生（形）;shēng;"unripe; green; living; raw; unfamiliar"
3;629;生产;shēngchǎn;production
3;630;生存;shēngcún;Existence
3;631;生动;shēngdòng;vivid
3;632;生命;shēngmìng;life
3;633;生意;shēngyi;business
3;634;生长;shēngzhǎng;grow
3;635;声明;shēngmíng;statement
3;636;胜;shèng;"win; defeat; beat; can bear; be superior"
3;637;胜利;shènglì;victory
3;638;失去;shīqù;Lose
3;639;石头;shítou;stone
3;640;石油;shíyóu;petroleum
3;641;时;shí;"time; times; hour; season; tense"
3;642;时代;shídài;times
3;643;时刻;shíkè;time
3;644;实际上;shí jì shàng;actually
3;645;实力;shílì;Strength
3;646;实行;shíxíng;Implement
3;647;实验;shíyàn;Experiment
3;648;实验室;shí yàn shì;laboratory
3;649;食品;shí pǐn;"food; foodstuff"
3;650;使;shǐ;make
3;651;始终;shǐzhōng;Throughout
3;652;世纪;shìjì;century
3;653;世界;shìjiè;world
3;654;世界杯;shì jiè bēi;World Cup
3;655;市场;shìchǎng;market
3;656;事故;shìgù;Accident
3;657;事件;shìjiàn;Event
3;658;事实;shìshí;Fact
3;659;事实上;shì shí shàng;"in fact; actually"
3;660;事业;shìyè;career
3;661;试题;shì tí;test questions
3;662;试验;shìyàn;test
3;663;适合;shìhé;Fit
3;664;适应;shìyìng;Adapt
3;665;适用;shì yòng;"be applicable; be suitable"
3;666;室;shì;room
3;667;收费;shōu fèi;"collect fees; charge"
3;668;收看;shōu kàn;watch
3;669;收听;shōu tīng;"listen to; listen in"
3;670;收音机;shōuyīnjī;radio
3;671;手续;shǒuxù;procedures
3;672;手指;shǒuzhǐ;finger
3;673;首都;shǒudū;capital
3;674;首先;shǒuxiān;First
3;675;受;shòu;"be subjecte; suffer; receive; accept; stand"
3;676;受伤;shòushāng;Injured
3;677;书架;shūjià;bookshelf
3;678;输;shū;lose
3;679;输入;shūrù;"import; input"
3;680;熟人;shú rén;acquaintance
3;681;属;shǔ;"be born in the year of (one of the twelve animals); belong"
3;682;属于;shǔyú;belong to
3;683;束;shù;beam
3;684;数量;shùliàng;quantity
3;685;双;shuāng;double
3;686;双方;shuāngfāng;both sides
3;687;思想;sīxiǎng;thought
3;688;死;sǐ;die
3;689;速度;sùdù;speed
3;690;随;suí;"follow; comply with; adapt"
3;691;所（名、量）;suǒ;"place; office; spot; (measure word)"
3;692;所长;suǒ zhǎng;superintendent
3;693;台;tái;platform
3;694;谈;tán;talk
3;695;谈话;tán huà;"conversation; talk; chat"
3;696;谈判;tánpàn;negotiation
3;697;汤;tāng;soup
3;698;糖;táng;sugar
3;699;特色;tèsè;characteristic
3;700;提前;tíqián;Advance
3;701;提问;tíwèn;Put questions to
3;702;题目;tímù;subject
3;703;体会;tǐhuì;Experience
3;704;体现;tǐxiàn;Reflect
3;705;体验;tǐyàn;"experience; taste"
3;706;天空;tiānkōng;sky
3;707;甜;tián;sweet
3;708;调;tiáo;"suit well; mix; adjust; fit in perfectly"
3;709;调整;tiáozhěng;adjustment
3;710;跳;tiào;"jump; leap; skip; bounce"
3;711;跳高;tiào gāo;high jump
3;712;跳舞;tiàowǔ;dance
3;713;跳远;tiào yuǎn;"long jump; broad jump"
3;714;铁;tiě;iron
3;715;铁路;tiě lù;"railway; railroad"
3;716;听力;tīng lì;"hearing; aural comprehension"
3;717;听众;tīng zhòng;"audience; listeners"
3;718;停止;tíng zhǐ;"stop; cease; suspend; call off; halt"
3;719;通常;tōngcháng;usually
3;720;通信;tōng xìn;"communicate; correspond"
3;721;同意;tóngyì;Agree
3;722;痛（形）;tòng;"sore; painful; sad"
3;723;痛苦;tòngkǔ;Pain
3;724;头（形）;tóu;"lead; head"
3;725;头脑;tóu nǎo;"mind; brain"
3;726;突出;tūchū;prominent
3;727;突然;tūrán;suddenly
3;728;图;tú;"picture; chart; drawing; scheme; intention"
3;729;图画;tú huà;"drawing; picture; painting"
3;730;土（名）;tǔ;"soil; earth; land; ground"
3;731;团;tuán;group
3;732;团结;tuánjié;Unite
3;733;团体;tuántǐ;group
3;734;推动;tuī dòng;"promote; push forward; give impetus to"
3;735;推广;tuīguǎng;Extension
3;736;推进;tuī jìn;"advance; carry forward; push on; give impetus to"
3;737;推开;tuī kāi;push away
3;738;退;tuì;retreat
3;739;退出;tuì chū;"drop out; quit; withdraw"
3;740;退休;tuìxiū;retire
3;741;外交;wàijiāo;diplomacy
3;742;外面;wài miàn;"outside; outdoors; outward appearance"
3;743;外文;wài wén;foreign language
3;744;完美;wánměi;perfect
3;745;完善;wánshàn;perfect, consummate
3;746;完整;wánzhěng;complete
3;747;玩具;wánjù;Toys
3;748;往往;wǎngwǎng;Often
3;749;危害;wēihài;Harm
3;750;危险;wēixiǎn;danger
3;751;为（动）;wéi;"act as; become; be; mean"
3;752;为（介）;wèi;(preposition)
3;753;围;wéi;"enclose; surround; circle"
3;754;伟大;wěidà;great
3;755;卫生;wèi shēng;"hygiene; health; sanitation"
3;756;卫生间;wèishēngjiān;toilet
3;757;为了;wèile;in order to
3;758;温暖;wēnnuǎn;warm
3;759;文化;wénhuà;Culture
3;760;文件;wénjiàn;file
3;761;文明;wénmíng;civilization
3;762;文学;wénxué;literature
3;763;文章;wénzhāng;Article
3;764;文字;wénzì;writing, character
3;765;握手;wòshǒu;Handshake
3;766;屋子;wūzi;House
3;767;武器;wǔqì;arms
3;768;武术;wǔshù;A martial art
3;769;舞台;wǔ tái;"stage; arena"
3;770;西部;xī bù;west
3;771;希望;xīwàng;hope
3;772;系;xì;department
3;773;下来;xià lái;"come down; get down"
3;774;下面;xià miàn;"below; under; next"
3;775;下去;xià qù;"go down; descend; go on; continue"
3;776;先进;xiānjìn;advanced
3;777;显得;xiǎnde;Appear
3;778;显然;xiǎnrán;Obviously
3;779;显示;xiǎnshì;display
3;780;现场;xiànchǎng;scene
3;781;现代;xiàndài;modern
3;782;现金;xiànjīn;cash
3;783;现实;xiànshí;reality
3;784;现象;xiànxiàng;phenomenon
3;785;线;xiàn;"thread; string; wire; line; route"
3;786;相比;xiāng bǐ;"compare; compare to"
3;787;相当;xiāngdāng;Quite
3;788;相关;xiāngguān;correlate
3;789;相互;xiāng hù;"mutual; reciprocal; each other"
3;790;相似;xiāngsì;Be similar
3;791;香;xiāng;fragrant
3;792;香蕉;xiāngjiāo;Banana
3;793;消费;xiāofèi;consumption
3;794;消失;xiāoshī;disappear
3;795;消息;xiāoxi;message
3;796;效果;xiàoguǒ;Effect
3;797;写作;xiězuò;writing
3;798;血;xuè;blood
3;799;心;xīn;"heart; feeling; centre; core"
3;800;信（动）;xìn;"believe; trust"
3;801;信封;xìnfēng;envelope
3;802;信任;xìnrèn;trust
3;803;行李;xíng lǐ;"luggage; baggage"
3;804;形成;xíngchéng;formation
3;805;形式;xíngshì;form
3;806;形象;xíngxiàng;image
3;807;形状;xíngzhuàng;shape
3;808;幸福;xìngfú;happiness
3;809;幸运;xìngyùn;Lucky 
3;810;性（积极性）;xìng （jī jí xìng）;as a suffix (positivity)
3;811;性别;xìngbié;Gender
3;812;性格;xìnggé;character
3;813;修;xiū;"repair; build; embellish; study"
3;814;修改;xiūgǎi;modify
3;815;需求;xūqiú;demand
3;816;需要;xūyào;Need
3;817;宣布;xuānbù;Announce
3;818;宣传;xuānchuán;Propaganda
3;819;选手;xuǎnshǒu;Player
3;820;学费;xué fèi;"tuition fee; tuition; school fee"
3;821;训练;xùnliàn;train
3;822;压;yā;"press; push; keep under control; bear down"
3;823;压力;yālì;pressure
3;824;烟;yān;"smoke; tobacco; be irritated by smoke"
3;825;眼前;yǎn qián;"now; at the moment; before one’s eyes"
3;826;演;yǎn;"play; act; perform"
